[TRACE  ][0][2013-05-17T14:57:22.618660]:[5720]: Player: 'poppycat1234', action: 'BigBlind', amount: '50' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:23.427707]:[2792]: Player: 'Capt11111', stack: '2075' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:23.427707]:[2792]: Player: 'sganafrost', stack: '2145' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:23.427707]:[2792]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:23.428707]:[2792]: Player: 'Capt11111', action: 'SmallBlind', amount: '25' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:23.430707]:[2792]: Player: 'sganafrost', action: 'BigBlind', amount: '50' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:23.960737]:[5868]: Player: 'Mr. yarddog', stack: '800' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:23.962737]:[5868]: Player: 'Mr. yarddog', action: 'Bet', amount: '500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:24.592773]:[5720]: Player: 'azareon', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:25.845845]:[5868]: Player: 'jclark468', stack: '6445' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:25.848845]:[5868]: Player: 'jclark468', action: 'Raise', amount: '1000' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:26.235867]:[2792]: Player: 'PokerLovea', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:28.166978]:[2792]: Player: 'kvasilev71', stack: '6740' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:28.168978]:[2792]: Player: 'kvasilev71', action: 'Call', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:28.449994]:[2792]: Player: 'vinni964', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:28.732010]:[5868]: Player: 'Mr. yarddog', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:28.734010]:[5868]: Player: 'Mr. yarddog', action: 'Raise', amount: '1300' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:30.065086]:[5868]: Player: 'jclark468', stack: '6145' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:30.065086]:[5868]: Player: 'jclark468', action: 'Call', amount: '300' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:30.349103]:[2792]: Player: 'MinesBigr', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:30.630119]:[5720]: Player: 'Z1Framer', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:30.634119]:[2792]: Player: 'The Bookworm', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
