[NONE   ][0][2013-05-14T22:37:46.294967]:[4764]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-14T22:37:52.936347]:[2528]: Ante: '34' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:52.997350]:[2528]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:52.998350]:[2528]: Player: 'libero1068', stack: '1470' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:52.998350]:[2528]: Player: 'jack030864', stack: '1300' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:52.998350]:[2528]: Player: 'TimTruckle', stack: '1310' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:52.998350]:[2528]: Player: 'melpman', stack: '720' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:52.999350]:[2528]: Player: 'peluso111', stack: '3050' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:52.999350]:[2528]: Player: 'gert29', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-14T22:37:53.413374]:[2528]: Player: 'A.Makohon', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:37:55.075469]:[2528]: Player: 'jack030864', stack: '700' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:37:55.077469]:[2528]: Player: 'jack030864', action: 'Call', amount: '600' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:37:58.465663]:[2528]: Player: 'TimTruckle', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:37:58.467663]:[2528]: Player: 'TimTruckle', action: 'Raise', amount: '1310' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:04.767024]:[2528]: Player: 'melpman', stack: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:04.769024]:[2528]: Player: 'melpman', action: 'Call', amount: '710' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:06.182105]:[2528]: Player: 'jack030864', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:06.183105]:[2528]: Player: 'jack030864', action: 'Call', amount: '700' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:07.095157]:[2528]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:09.271281]:[2528]: Cards received: ('Six' of 'Diamonds')('Seven' of 'Diamonds')('Four' of 'Hearts')('Seven' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-14T22:38:09.969321]:[2528]: Cards received: ('Six' of 'Diamonds')('Seven' of 'Diamonds')('Four' of 'Hearts')('Seven' of 'Hearts')('Three' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-14T22:38:11.661418]:[2528]: Player: 'melpman', action: 'ShowCards', cards: '5c5h' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:11.671418]:[2528]: Player: 'TimTruckle', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:11.673419]:[2528]: Player: 'TimTruckle', action: 'ShowCards', cards: 'AcAs' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:12.902489]:[2528]: Player: 'melpman', stack: '30' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:12.904489]:[2528]: Player: 'melpman', action: 'WinCards', pot: '20', cards: '7d6d5c4h3d' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:12.909489]:[2528]: Player: 'jack030864', stack: '30' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:12.911489]:[2528]: Player: 'jack030864', action: 'ShowCards', cards: '5dQd' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:13.887545]:[2528]: Player: 'TimTruckle', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:13.888545]:[2528]: Player: 'TimTruckle', action: 'Rank', amount: '8' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-14T22:38:15.612644]:[2528]: Player: 'peluso111', stack: '3040' /* clnt::ps::msg::BeforePreflopActions::Process */
