[NONE   ][0][2013-04-22T22:57:16.235611]:[6436]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-04-22T22:57:51.519629]:[4992]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.535630]:[4992]: Player: 'alacrangor', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.535630]:[4992]: Player: 'sreklofevets', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.536630]:[4992]: Player: 'dtcone', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.536630]:[4992]: Player: '79bomber', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.536630]:[4992]: Player: 'Bonvenon', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.536630]:[4992]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.536630]:[4992]: Player: 'gYorgYo300', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.536630]:[4992]: Player: 'cryingork', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:57:51.537630]:[4992]: Player: 'corvette2012', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T22:58:48.842908]:[4992]: Player: 'sreklofevets', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T22:58:48.842908]:[4992]: Player: 'dtcone', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T22:58:48.843908]:[4992]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T22:58:48.845908]:[4992]: Player: 'sreklofevets', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T22:58:48.848908]:[4992]: Player: 'dtcone', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T22:58:48.853908]:[4992]: Player cards: ('Ace' of 'Hearts')('Seven' of 'Diamonds') /* clnt::ps::msg::PlayerCards::Process */
