[TRACE  ][0][2013-05-15T16:46:51.726965]:[1760]: Player: 'Will^^^^1957', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:52.310999]:[1760]: Player: 'dendi76', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:52.476008]:[1760]: Cards received: ('Two' of 'Diamonds')('Nine' of 'Hearts')('Eight' of 'Clubs')('Jack' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T16:46:57.722308]:[1760]: Player: 'shuriks', stack: '1300' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:57.722308]:[1760]: Player: 'shuriks', action: 'Bet', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:59.570414]:[1760]: Player: 'Will^^^^1957', stack: '1300' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:59.572414]:[1760]: Player: 'Will^^^^1957', action: 'Call', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:02.008553]:[1760]: Player: 'dendi76', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:02.641590]:[1760]: Cards received: ('Two' of 'Diamonds')('Nine' of 'Hearts')('Eight' of 'Clubs')('Jack' of 'Diamonds')('Four' of 'Spades') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T16:47:08.823943]:[1760]: Player: 'shuriks', stack: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:08.824943]:[1760]: Player: 'shuriks', action: 'Bet', amount: '160' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:10.603045]:[1760]: Player: 'Will^^^^1957', stack: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:10.605045]:[1760]: Player: 'Will^^^^1957', action: 'Call', amount: '160' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:11.206079]:[1760]: Player: 'shuriks', action: 'ShowCards', cards: 'QhTh' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:13.578215]:[1760]: Player: 'Will^^^^1957', action: 'Loose', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:20.647620]:[1760]: Player: 'giuuu90', stack: '1470' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:47:20.647620]:[1760]: Player: 'fryingpan123', stack: '1460' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:47:20.647620]:[1760]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:47:20.650620]:[1760]: Player: 'giuuu90', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:47:20.658620]:[1760]: Player: 'fryingpan123', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:47:20.663620]:[1760]: Player cards: ('Seven' of 'Diamonds')('Seven' of 'Hearts') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-15T16:47:24.700851]:[1760]: Player: 'CH/Ivan/M', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:47:24.702851]:[1760]: Player: 'CH/Ivan/M', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
