[NONE   ][0][2013-04-22T21:20:43.354277]:[5124]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-04-22T21:23:49.419919]:[6104]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.432920]:[6104]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.432920]:[6104]: Player: 'TrashPlayer1', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.433920]:[6104]: Player: 'bojnican1411', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.433920]:[6104]: Player: 'MIAU50', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.433920]:[6104]: Player: 'JoeBlanck', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.434920]:[6104]: Player: '2L84H8', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.434920]:[6104]: Player: 'peyo123823', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.434920]:[6104]: Player: 'YakkeMontez7', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:23:49.434920]:[6104]: Player: 'psolemporos', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T21:24:46.304173]:[6104]: Player: 'TrashPlayer1', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:24:46.304173]:[6104]: Player: 'bojnican1411', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:24:46.305173]:[6104]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:24:46.306173]:[6104]: Player: 'TrashPlayer1', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:24:46.307173]:[6104]: Player: 'bojnican1411', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:24:46.310173]:[6104]: Player cards: ('Five' of 'Diamonds')('Four' of 'Hearts') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-22T21:24:51.585475]:[6104]: Player: 'MIAU50', stack: '1440' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:24:51.587475]:[6104]: Player: 'MIAU50', action: 'Raise', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:24:53.677595]:[6104]: Player: 'JoeBlanck', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:24:57.542816]:[6104]: Player: '2L84H8', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:24:59.879949]:[6104]: Player: 'peyo123823', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:05.365263]:[6104]: Player: 'YakkeMontez7', stack: '1440' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:05.367263]:[6104]: Player: 'YakkeMontez7', action: 'Call', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:05.668280]:[6104]: Player: 'psolemporos', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:14.068761]:[6104]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:26.371465]:[6104]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:34.755944]:[6104]: Player: 'TrashPlayer1', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:39.076191]:[6104]: Player: 'TrashPlayer1', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:41.695341]:[6104]: Player: 'bojnican1411', stack: '1440' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:41.695341]:[6104]: Player: 'bojnican1411', action: 'Call', amount: '40' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:42.348378]:[6104]: Cards received: ('Five' of 'Clubs')('Six' of 'Diamonds')('Ten' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-22T21:25:46.003587]:[6104]: Player: 'bojnican1411', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:47.637681]:[6104]: Player: 'MIAU50', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:51.442899]:[6104]: Player: 'YakkeMontez7', stack: '1340' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:51.444899]:[6104]: Player: 'YakkeMontez7', action: 'Bet', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:54.412068]:[6104]: Player: 'bojnican1411', stack: '1340' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:54.413068]:[6104]: Player: 'bojnican1411', action: 'Call', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:59.389353]:[6104]: Player: 'MIAU50', stack: '1340' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:25:59.391353]:[6104]: Player: 'MIAU50', action: 'Call', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:00.010389]:[6104]: Cards received: ('Five' of 'Clubs')('Six' of 'Diamonds')('Ten' of 'Hearts')('Ten' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-22T21:26:01.882496]:[6104]: Player: 'bojnican1411', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:03.958614]:[6104]: Player: 'MIAU50', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:08.886896]:[6104]: Player: 'YakkeMontez7', stack: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:08.888896]:[6104]: Player: 'YakkeMontez7', action: 'Bet', amount: '200' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:13.756175]:[6104]: Player: 'bojnican1411', stack: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:13.758175]:[6104]: Player: 'bojnican1411', action: 'Call', amount: '200' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:15.289262]:[6104]: Player: 'MIAU50', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:15.986302]:[6104]: Cards received: ('Five' of 'Clubs')('Six' of 'Diamonds')('Ten' of 'Hearts')('Ten' of 'Clubs')('Three' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-22T21:26:19.438500]:[6104]: Player: 'bojnican1411', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:19.440500]:[6104]: Player: 'bojnican1411', action: 'Bet', amount: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:20.685571]:[6104]: Player: 'YakkeMontez7', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:20.687571]:[6104]: Player: 'YakkeMontez7', action: 'Call', amount: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:21.145597]:[6104]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:22.727688]:[6104]: Player: 'bojnican1411', action: 'ShowCards', cards: 'Ks7s' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:22.735688]:[6104]: Player: 'YakkeMontez7', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:22.737689]:[6104]: Player: 'YakkeMontez7', action: 'ShowCards', cards: 'JcTs' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:23.967759]:[6104]: Player: 'bojnican1411', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:23.967759]:[6104]: Player: 'bojnican1411', action: 'Rank', amount: '9' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:29.960102]:[6104]: Player: 'MIAU50', stack: '1330' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:26:29.961102]:[6104]: Player: 'JoeBlanck', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:26:29.961102]:[6104]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:26:29.963102]:[6104]: Player: 'MIAU50', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:26:29.973102]:[6104]: Player: 'JoeBlanck', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T21:26:29.979103]:[6104]: Player cards: ('Ten' of 'Hearts')('Four' of 'Spades') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-22T21:26:35.641427]:[6104]: Player: '2L84H8', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:41.698773]:[6104]: Player: 'peyo123823', stack: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:41.700773]:[6104]: Player: 'peyo123823', action: 'Raise', amount: '360' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:46.563051]:[6104]: Player: 'YakkeMontez7', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:52.523392]:[6104]: Player: 'psolemporos', stack: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:52.525392]:[6104]: Player: 'psolemporos', action: 'Call', amount: '360' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:26:55.402557]:[6104]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:03.487019]:[6104]: Player: 'TrashPlayer1', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:03.773036]:[6104]: Player: 'TrashPlayer1', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:03.774036]:[6104]: Player: 'TrashPlayer1', action: 'Raise', amount: '1490' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:07.578253]:[6104]: Player: 'MIAU50', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:11.900500]:[6104]: Player: 'JoeBlanck', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:12.186517]:[6104]: Player: 'peyo123823', stack: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:12.188517]:[6104]: Player: 'peyo123823', action: 'Call', amount: '1130' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:13.783608]:[6104]: Player: 'psolemporos', stack: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:13.785608]:[6104]: Player: 'psolemporos', action: 'Call', amount: '1130' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:14.405644]:[6104]: Cards received: ('Five' of 'Diamonds')('Five' of 'Hearts')('Two' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-22T21:27:16.530765]:[6104]: Player: 'peyo123823', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:16.532765]:[6104]: Player: 'peyo123823', action: 'Bet', amount: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:17.873842]:[6104]: Player: 'psolemporos', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:17.877842]:[6104]: Player: 'psolemporos', action: 'Call', amount: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:18.447875]:[6104]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:20.700004]:[6104]: Cards received: ('Five' of 'Diamonds')('Five' of 'Hearts')('Two' of 'Hearts')('Queen' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-22T21:27:22.017079]:[6104]: Cards received: ('Five' of 'Diamonds')('Five' of 'Hearts')('Two' of 'Hearts')('Queen' of 'Clubs')('Two' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-22T21:27:23.654173]:[6104]: Player: 'peyo123823', action: 'ShowCards', cards: 'AsAd' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:23.662173]:[6104]: Player: 'psolemporos', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:23.664173]:[6104]: Player: 'psolemporos', action: 'ShowCards', cards: '3c3h' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:24.870242]:[6104]: Player: 'peyo123823', stack: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:24.872242]:[6104]: Player: 'peyo123823', action: 'WinCards', pot: '20', cards: 'AsAd5d5hQc' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T21:27:24.876243]:[6104]: Player: 'TrashPlayer1', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
