[TRACE  ][0][2013-03-18T16:09:34.454762]:[2272]: Player: 'csabi1790930', action: 'SecondsLeft', amount: '8' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:09:42.467220]:[2272]: Player: 'csabi1790930', action: 'SecondsLeft', amount: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:09:44.449334]:[2272]: Player: 'csabi1790930', action: 'SecondsLeft', amount: '8' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:09:53.753866]:[2272]: Player: 'csabi1790930', action: 'Fold', amount: '1' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:09:59.942220]:[2272]: Player: 'CLRN', action: 'SecondsLeft', amount: '8' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:05.258524]:[2272]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:05.544540]:[2272]: Player: 'londrax', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:06.456592]:[2272]: Player: 'e.poppi', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:07.189634]:[2272]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:08.363702]:[2272]: Cards received: ('Ten' of 'Diamonds')('Queen' of 'Spades')('Eight' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-18T16:10:10.378817]:[2272]: Cards received: ('Ten' of 'Diamonds')('Queen' of 'Spades')('Eight' of 'Diamonds')('Four' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-18T16:10:11.960907]:[2272]: Cards received: ('Ten' of 'Diamonds')('Queen' of 'Spades')('Eight' of 'Diamonds')('Four' of 'Clubs')('Nine' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
