[NONE   ][0][2013-05-17T11:09:47.983660]:[4596]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-17T11:10:37.265479]:[6036]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.278479]:[6036]: Player: 'redSentinal', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.278479]:[6036]: Player: 'rehabusrab', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.278479]:[6036]: Player: 'nocoolingoff', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.278479]:[6036]: Player: 'chavo0810', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.279480]:[6036]: Player: 'seatownstorm', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.279480]:[6036]: Player: 'CLRN', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.279480]:[6036]: Player: 'gbobbylee', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:10:37.279480]:[6036]: Player: 'TXchiptaker1', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T11:11:36.389860]:[6036]: Player: 'redSentinal', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T11:11:36.389860]:[6036]: Player: 'rehabusrab', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T11:11:36.390861]:[6036]: Player: 'nocoolingoff', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T11:11:36.390861]:[6036]: Player: 'chavo0810', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T11:11:36.390861]:[6036]: Player: 'seatownstorm', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T11:11:36.390861]:[6036]: Player: '-Monty-Nash-', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T11:11:36.391861]:[6036]: Player: 'CLRN', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
