[NONE   ][0][2013-03-17T14:42:44.591317]:[5076]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-03-17T14:43:16.782158]:[3192]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.799159]:[3192]: Player: 'vstana', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.800159]:[3192]: Player: 'angeloprimo', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.800159]:[3192]: Player: 'nemethtomi1', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.800159]:[3192]: Player: 'Benzali123', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.800159]:[3192]: Player: 'irish3696176', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.802159]:[3192]: Player: 'boarta1952', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.802159]:[3192]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:43:16.803159]:[3192]: Player: 'olamaps', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T14:44:15.601522]:[3192]: Player: 'angeloprimo', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T14:44:15.601522]:[3192]: Player: 'nemethtomi1', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T14:44:15.602522]:[3192]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T14:44:15.602522]:[3192]: Player: 'angeloprimo', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T14:44:15.604522]:[3192]: Player: 'nemethtomi1', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
