[TRACE  ][0][2013-05-15T15:30:26.279693]:[328]: Player: 'bill0340', action: 'Raise', amount: '420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:31.372984]:[328]: Player: 'Bandini7', stack: '960' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:31.373984]:[328]: Player: 'Bandini7', action: 'Raise', amount: '540' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:39.346440]:[328]: Player: 'Urric45', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:42.001592]:[328]: Player: 'Urric45', stack: '500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:42.003592]:[328]: Player: 'Urric45', action: 'Raise', amount: '1000' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:50.120056]:[328]: Player: 'bill0340', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:59.300581]:[328]: Player: 'bill0340', stack: '40' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:30:59.302582]:[328]: Player: 'bill0340', action: 'Raise', amount: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:02.837784]:[328]: Player: 'Bandini7', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:02.839784]:[328]: Player: 'Bandini7', action: 'Raise', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:10.955248]:[328]: Player: 'Urric45', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:14.539453]:[328]: Player: 'Urric45', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:14.541453]:[328]: Player: 'Urric45', action: 'Call', amount: '500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:16.995594]:[328]: Player: 'bill0340', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:16.997594]:[328]: Player: 'bill0340', action: 'Call', amount: '40' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:17.460620]:[328]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:19.172718]:[328]: Cards received: ('Nine' of 'Diamonds')('Six' of 'Hearts')('Five' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T15:31:20.999823]:[328]: Cards received: ('Nine' of 'Diamonds')('Six' of 'Hearts')('Five' of 'Hearts')('Ten' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T15:31:22.719921]:[328]: Cards received: ('Nine' of 'Diamonds')('Six' of 'Hearts')('Five' of 'Hearts')('Ten' of 'Clubs')('Five' of 'Spades') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T15:31:23.952991]:[328]: Player: 'bill0340', action: 'ShowCards', cards: 'AsJd' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:23.961992]:[328]: Player: 'Bandini7', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:23.963992]:[328]: Player: 'Bandini7', action: 'ShowCards', cards: '2cKd' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:23.972993]:[328]: Player: 'Urric45', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:23.973993]:[328]: Player: 'Urric45', action: 'ShowCards', cards: '7h7c' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:25.206063]:[328]: Player: 'bill0340', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:25.207063]:[328]: Player: 'bill0340', action: 'Rank', amount: '8' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:30.952392]:[328]: Player: 'Observer90', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:31:30.953392]:[328]: Player: 'MP03', stack: '1460' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:31:30.953392]:[328]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:31:30.955392]:[328]: Player: 'Observer90', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:31:30.966393]:[328]: Player: 'MP03', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:31:30.968393]:[328]: Player cards: ('Seven' of 'Hearts')('Five' of 'Diamonds') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-15T15:31:33.597543]:[328]: Player: 'vana-seen', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:35.811670]:[328]: Player: 'Sokol0526', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:37.769782]:[328]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:40.346929]:[328]: Player: 'Urric45', stack: '4460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:40.348929]:[328]: Player: 'Urric45', action: 'Raise', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:45.013196]:[328]: Player: 'nocard278', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:48.524397]:[328]: Player: 'Observer90', stack: '1380' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:48.526397]:[328]: Player: 'Observer90', action: 'Call', amount: '110' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:53.034655]:[328]: Player: 'MP03', stack: '1360' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:53.036655]:[328]: Player: 'MP03', action: 'Call', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:31:53.656690]:[328]: Cards received: ('Ace' of 'Clubs')('Ten' of 'Hearts')('King' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T15:32:02.842216]:[328]: Player: 'Observer90', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:03.161234]:[328]: Player: 'Observer90', stack: '1260' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:03.163234]:[328]: Player: 'Observer90', action: 'Bet', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:05.568372]:[328]: Player: 'MP03', stack: '1240' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:05.570372]:[328]: Player: 'MP03', action: 'Call', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:07.028455]:[328]: Player: 'Urric45', stack: '4340' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:07.030455]:[328]: Player: 'Urric45', action: 'Call', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:07.649491]:[328]: Cards received: ('Ace' of 'Clubs')('Ten' of 'Hearts')('King' of 'Diamonds')('Five' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T15:32:14.482882]:[328]: Player: 'Observer90', stack: '1140' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:14.483882]:[328]: Player: 'Observer90', action: 'Bet', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:23.127376]:[328]: Player: 'MP03', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:28.895706]:[328]: Player: 'MP03', stack: '1120' /* clnt::ps::msg::PlayerAction::Process */
