[NONE   ][0][2013-05-15T17:25:55.244007]:[6072]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-15T17:26:05.281581]:[6308]: Ante: '577' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.359585]:[6308]: Player: 'kostya428', stack: '1830' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.359585]:[6308]: Player: 'toro72615', stack: '1450' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.360585]:[6308]: Player: 'EKV_N 0001', stack: '1440' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.360585]:[6308]: Player: 'CLRN', stack: '1840' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.360585]:[6308]: Player: 'DADDY JD', stack: '1720' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.360585]:[6308]: Player: 'penelopep885', stack: '1210' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.360585]:[6308]: Player: 'Vider7CC', stack: '1140' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.361586]:[6308]: Player: 'AM_PS0', stack: '1460' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.361586]:[6308]: Player: 'xtra300flyer', stack: '1320' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T17:26:05.489593]:[6308]: Player: 'DADDY JD', stack: '1700' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:05.490593]:[6308]: Player: 'DADDY JD', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:07.189690]:[6308]: Player: 'penelopep885', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:08.238750]:[6308]: Player: 'Vider7CC', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:09.141802]:[6308]: Cards received: ('Ten' of 'Diamonds')('Seven' of 'Clubs')('Four' of 'Spades') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T17:26:11.784953]:[6308]: Player: 'Vider7CC', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:13.591056]:[6308]: Player: 'AM_PS0', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:13.882073]:[6308]: Player: 'xtra300flyer', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:16.623230]:[6308]: Player: 'kostya428', stack: '1750' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:16.624230]:[6308]: Player: 'kostya428', action: 'Bet', amount: '80' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:18.196320]:[6308]: Player: 'DADDY JD', stack: '1620' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:18.197320]:[6308]: Player: 'DADDY JD', action: 'Call', amount: '80' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:18.751351]:[6308]: Player: 'Vider7CC', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:22.464564]:[6308]: Player: 'AM_PS0', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:24.308669]:[6308]: Player: 'xtra300flyer', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T17:26:24.920704]:[6308]: Cards received: ('Ten' of 'Diamonds')('Seven' of 'Clubs')('Four' of 'Spades')('Queen' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T17:26:28.013881]:[6308]: Player: 'kostya428', stack: '1610' /* clnt::ps::msg::PlayerAction::Process */
