[NONE   ][0][2013-05-15T18:46:16.537769]:[5276]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-15T18:46:49.522656]:[4312]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.534656]:[4312]: Player: 'pnwfish', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.534656]:[4312]: Player: 'Heiner01', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.534656]:[4312]: Player: 'Antontim', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.535656]:[4312]: Player: 'SalvTrip', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.535656]:[4312]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.535656]:[4312]: Player: 'Lobo37', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.535656]:[4312]: Player: 'Cristianjal1', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:46:49.535656]:[4312]: Player: 'Sammygeniux', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T18:47:46.805932]:[4312]: Player: 'Heiner01', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T18:47:46.805932]:[4312]: Player: 'Antontim', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T18:47:46.805932]:[4312]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T18:47:46.806932]:[4312]: Player: 'Heiner01', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
