[NONE   ][0][2013-04-21T22:58:28.040559]:[7060]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-04-21T22:59:13.672169]:[6640]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.687170]:[6640]: Player: 'keith12603', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.687170]:[6640]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.687170]:[6640]: Player: 'tjfa', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.688170]:[6640]: Player: 'suzeeq1', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.688170]:[6640]: Player: 'MASTER77755', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.688170]:[6640]: Player: 'BigAS5719', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.688170]:[6640]: Player: 'Mianani', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T22:59:13.688170]:[6640]: Player: 'starkspark66', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:00:11.598482]:[6640]: Player: 'CLRN', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:00:11.598482]:[6640]: Player: 'tjfa', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:00:11.598482]:[6640]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:00:11.599482]:[6640]: Player: 'CLRN', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:00:11.600482]:[6640]: Player: 'tjfa', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:00:11.602482]:[6640]: Player cards: ('Four' of 'Spades')('Ace' of 'Spades') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-21T23:00:14.580653]:[6640]: Player: 'Kraz<31.FCK', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:00:14.582653]:[6640]: Player: 'Kraz<31.FCK', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:00:16.356754]:[6640]: Player: 'suzeeq1', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:00:16.358754]:[6640]: Player: 'suzeeq1', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:00:24.422216]:[6640]: Player: 'MASTER77755', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
