[NONE   ][0][2013-05-16T16:13:20.791523]:[5612]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-16T16:15:17.549201]:[2916]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.562202]:[2916]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.562202]:[2916]: Player: 'Yung_blood94', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.563202]:[2916]: Player: 'DonnaH', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.563202]:[2916]: Player: 'ADT Keystone', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.563202]:[2916]: Player: 'chainz_863', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.563202]:[2916]: Player: 'diounky', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.563202]:[2916]: Player: 'TAZ 2087', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.564202]:[2916]: Player: 'linnc54', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:15:17.564202]:[2916]: Player: 'bigdawg1026', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-16T16:16:15.305505]:[2916]: Player: 'Yung_blood94', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-16T16:16:15.305505]:[2916]: Player: 'DonnaH', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-16T16:16:15.306505]:[2916]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-16T16:16:15.308505]:[2916]: Player: 'Yung_blood94', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-16T16:16:15.312505]:[2916]: Player: 'DonnaH', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-16T16:16:15.320506]:[2916]: Player cards: ('Nine' of 'Diamonds')('Four' of 'Clubs') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-16T16:16:16.436569]:[2916]: Player: 'ADT Keystone', stack: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:16.438570]:[2916]: Player: 'ADT Keystone', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:18.312677]:[2916]: Player: 'chainz_863', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:18.314677]:[2916]: Player: 'chainz_863', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:19.804762]:[2916]: Player: 'diounky', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:19.806762]:[2916]: Player: 'diounky', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:24.840050]:[2916]: Player: 'TAZ 2087', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:25.423083]:[2916]: Player: 'linnc54', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:25.425084]:[2916]: Player: 'linnc54', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:25.713100]:[2916]: Player: 'bigdawg1026', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:34.106580]:[2916]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:36.509718]:[2916]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:36.809735]:[2916]: Player: 'Yung_blood94', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:37.090751]:[2916]: Player: 'DonnaH', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:37.701786]:[2916]: Cards received: ('Four' of 'Spades')('Ace' of 'Hearts')('Two' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-16T16:16:41.470001]:[2916]: Player: 'DonnaH', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:41.849023]:[2916]: Player: 'chainz_863', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-16T16:16:48.140383]:[2916]: Player: 'diounky', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
