[NONE   ][0][2013-04-11T22:45:19.295127]:[6664]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-04-11T22:45:52.732040]:[2332]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.758041]:[2332]: Player: 'davespot777', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.758041]:[2332]: Player: 'Andrea6300', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.758041]:[2332]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.758041]:[2332]: Player: 'chusa205', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.758041]:[2332]: Player: 'Captain msu', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.759041]:[2332]: Player: 'charlyrodri', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.759041]:[2332]: Player: 'leones40', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:45:52.759041]:[2332]: Player: 'quintum78', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-11T22:46:50.752358]:[2332]: Player: 'davespot777', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:46:50.752358]:[2332]: Player: 'Andrea6300', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:46:50.753358]:[2332]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:46:50.755358]:[2332]: Player: 'davespot777', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:46:50.763359]:[2332]: Player: 'Andrea6300', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:46:50.767359]:[2332]: Player cards: ('Three' of 'Spades')('Six' of 'Spades') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-11T22:47:00.097893]:[2332]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:02.769046]:[2332]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:10.966514]:[2332]: Player: 'chusa205', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:10.974515]:[2332]: Player: 'chusa205', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:10.976515]:[2332]: Player: 'chusa205', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:11.695556]:[2332]: Player: 'Captain msu', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:12.267589]:[2332]: Player: 'charlyrodri', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:12.269589]:[2332]: Player: 'charlyrodri', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:13.554662]:[2332]: Player: 'leones40', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:13.556663]:[2332]: Player: 'leones40', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:16.856851]:[2332]: Player: 'quintum78', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:20.318049]:[2332]: Player: 'clown-face33', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:20.319049]:[2332]: Player: 'clown-face33', action: 'Raise', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:23.127210]:[2332]: Player: 'davespot777', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:23.598237]:[2332]: Player: 'Andrea6300', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:23.599237]:[2332]: Player: 'Andrea6300', action: 'Call', amount: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:25.687356]:[2332]: Player: 'chusa205', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:25.689357]:[2332]: Player: 'chusa205', action: 'Call', amount: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:33.960830]:[2332]: Player: 'charlyrodri', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:43.794392]:[2332]: Player: 'charlyrodri', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:44.674442]:[2332]: Player: 'leones40', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:44.676443]:[2332]: Player: 'leones40', action: 'Call', amount: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:45.136469]:[2332]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:46.651555]:[2332]: Cards received: ('Three' of 'Hearts')('Eight' of 'Spades')('Ace' of 'Spades') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-11T22:47:48.663671]:[2332]: Cards received: ('Three' of 'Hearts')('Eight' of 'Spades')('Ace' of 'Spades')('Jack' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-11T22:47:50.166757]:[2332]: Cards received: ('Three' of 'Hearts')('Eight' of 'Spades')('Ace' of 'Spades')('Jack' of 'Hearts')('Eight' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-11T22:47:51.796850]:[2332]: Player: 'Andrea6300', action: 'ShowCards', cards: '4d4h' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:51.803850]:[2332]: Player: 'chusa205', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:51.805850]:[2332]: Player: 'chusa205', action: 'ShowCards', cards: 'QhQd' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:51.813851]:[2332]: Player: 'leones40', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:51.814851]:[2332]: Player: 'leones40', action: 'ShowCards', cards: 'AcTh' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:51.818851]:[2332]: Player: 'clown-face33', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:51.819851]:[2332]: Player: 'clown-face33', action: 'ShowCards', cards: 'Ks9c' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:52.856910]:[2332]: Player: 'clown-face33', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:52.858911]:[2332]: Player: 'clown-face33', action: 'Rank', amount: '7' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:47:58.835252]:[2332]: Player: 'CLRN', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:47:58.836252]:[2332]: Player: 'Captain msu', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:47:58.836252]:[2332]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:47:58.838253]:[2332]: Player: 'CLRN', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:47:58.865254]:[2332]: Player: 'Captain msu', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:47:58.886255]:[2332]: Player cards: ('Queen' of 'Clubs')('Ten' of 'Clubs') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-11T22:48:01.723418]:[2332]: Player: 'charlyrodri', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:01.724418]:[2332]: Player: 'charlyrodri', action: 'Raise', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:07.075724]:[2332]: Player: 'leones40', stack: '5970' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:07.076724]:[2332]: Player: 'leones40', action: 'Call', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:09.290850]:[2332]: Player: 'quintum78', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:10.623927]:[2332]: Player: 'davespot777', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:18.757392]:[2332]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:21.626556]:[2332]: Player: 'CLRN', stack: '1440' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:21.627556]:[2332]: Player: 'CLRN', action: 'Call', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:21.957575]:[2332]: Player: 'Captain msu', stack: '1440' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:21.958575]:[2332]: Player: 'Captain msu', action: 'Call', amount: '40' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:22.864627]:[2332]: Cards received: ('Six' of 'Hearts')('Two' of 'Spades')('Six' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-11T22:48:25.404772]:[2332]: Player: 'CLRN', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:29.442003]:[2332]: Player: 'Captain msu', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:33.077211]:[2332]: Player: 'charlyrodri', stack: '1260' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:33.079211]:[2332]: Player: 'charlyrodri', action: 'Bet', amount: '160' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:38.774537]:[2332]: Player: 'leones40', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:45.406916]:[2332]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:45.699933]:[2332]: Player: 'Captain msu', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:45.709933]:[2332]: Player: 'charlyrodri', stack: '1440' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:45.712934]:[2332]: Player: 'charlyrodri', action: 'MoneyReturn', amount: '160' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-11T22:48:49.378143]:[2332]: Player: 'Captain msu', stack: '1430' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-11T22:48:49.378143]:[2332]: Player: 'charlyrodri', stack: '1640' /* clnt::ps::msg::BeforePreflopActions::Process */
