[TRACE  ][0][2013-03-17T12:22:40.388624]:[1368]: Cards received: ('Four' of 'Clubs')('Seven' of 'Spades')('Three' of 'Diamonds')('Six' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-17T12:22:41.909711]:[1368]: Cards received: ('Four' of 'Clubs')('Seven' of 'Spades')('Three' of 'Diamonds')('Six' of 'Hearts')('Five' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-17T12:22:43.538804]:[1368]: Player: 'herisson fou', action: 'ShowCards', cards: '9sTs' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:43.543804]:[1368]: Player: 'andreeff776m', action: 'ShowCards', cards: 'TcTh' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:43.548805]:[1368]: Player: 'ciromenotti0', action: 'ShowCards', cards: '2c2s' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:50.349194]:[1368]: Player: 'jampierreita', stack: '1470' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:22:50.350194]:[1368]: Player: 'chopnbaz', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:22:50.350194]:[1368]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:22:50.352194]:[1368]: Player: 'jampierreita', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:22:50.353194]:[1368]: Player: 'chopnbaz', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:22:50.355194]:[1368]: Player cards: ('Four' of 'Spades')('Six' of 'Diamonds') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-03-17T12:22:55.357480]:[1368]: Player: 'bigchiefsosa', stack: '1240' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:55.357480]:[1368]: Player: 'bigchiefsosa', action: 'Raise', amount: '220' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:58.624667]:[1368]: Player: 'herisson fou', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:01.457829]:[1368]: Player: 'andreeff776m', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:01.458829]:[1368]: Player: 'andreeff776m', action: 'Raise', amount: '1523' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:04.070978]:[1368]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:12.533462]:[1368]: Player: '201130', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
