[NONE   ][0][2013-03-14T21:30:39.470318]:[2724]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-03-14T21:32:43.286400]:[6116]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.303401]:[6116]: Player: 'GuidoAmigo84', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.303401]:[6116]: Player: 'Eskitex2013', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.303401]:[6116]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.304401]:[6116]: Player: 'birdshot567', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.304401]:[6116]: Player: 'Baboshin', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.304401]:[6116]: Player: 'sliperydon', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.305401]:[6116]: Player: 'baby 090811', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.305401]:[6116]: Player: 'Harley Rolf', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:32:43.305401]:[6116]: Player: 'de AAngelis', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-14T21:33:41.363721]:[6116]: Player: 'Eskitex2013', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:33:41.363721]:[6116]: Player: 'CLRN', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:33:41.364722]:[6116]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:33:41.364722]:[6116]: Player: 'Eskitex2013', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:33:41.366722]:[6116]: Player: 'CLRN', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:33:41.372722]:[6116]: Player cards: ('Eight' of 'Diamonds')('King' of 'Hearts') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-03-14T21:33:50.749258]:[6116]: Player: 'birdshot567', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:52.634366]:[6116]: Player: 'birdshot567', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:53.493415]:[6116]: Player: 'Baboshin', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:55.399524]:[6116]: Player: 'sliperydon', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:55.400524]:[6116]: Player: 'sliperydon', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:58.041675]:[6116]: Player: 'baby 090811', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:58.042675]:[6116]: Player: 'baby 090811', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:59.482758]:[6116]: Player: 'Harley Rolf', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:33:59.483758]:[6116]: Player: 'Harley Rolf', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:03.678998]:[6116]: Player: 'de AAngelis', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:03.973015]:[6116]: Player: 'GuidoAmigo84', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:03.974015]:[6116]: Player: 'GuidoAmigo84', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:07.312206]:[6116]: Player: 'Eskitex2013', action: 'Call', amount: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:07.313206]:[6116]: Player: 'Eskitex2013', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:15.434670]:[6116]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:17.434785]:[6116]: Player: 'CLRN', action: 'Raise', amount: '40' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:17.435785]:[6116]: Player: 'CLRN', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:19.829922]:[6116]: Player: 'sliperydon', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:19.830922]:[6116]: Player: 'sliperydon', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:21.939042]:[6116]: Player: 'baby 090811', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:21.940042]:[6116]: Player: 'baby 090811', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:30.180514]:[6116]: Player: 'Harley Rolf', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:37.480931]:[6116]: Player: 'Harley Rolf', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:37.481931]:[6116]: Player: 'Harley Rolf', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:38.916013]:[6116]: Player: 'GuidoAmigo84', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:38.917013]:[6116]: Player: 'GuidoAmigo84', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:44.347324]:[6116]: Player: 'Eskitex2013', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:44.350324]:[6116]: Player: 'Eskitex2013', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:45.250376]:[6116]: Cards received: ('Five' of 'Diamonds')('Jack' of 'Hearts')('Eight' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-14T21:34:53.371840]:[6116]: Player: 'Eskitex2013', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:58.208117]:[6116]: Player: 'Eskitex2013', action: 'Bet', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:34:58.209117]:[6116]: Player: 'Eskitex2013', stack: '1360' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:01.398299]:[6116]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:03.369412]:[6116]: Player: 'sliperydon', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:05.677544]:[6116]: Player: 'baby 090811', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:12.292922]:[6116]: Player: 'Harley Rolf', action: 'Call', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:12.293922]:[6116]: Player: 'Harley Rolf', stack: '1360' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:12.587939]:[6116]: Player: 'GuidoAmigo84', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:13.202974]:[6116]: Cards received: ('Five' of 'Diamonds')('Jack' of 'Hearts')('Eight' of 'Hearts')('Six' of 'Spades') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-14T21:35:14.464046]:[6116]: Player: 'Eskitex2013', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:25.634685]:[6116]: Player: 'Harley Rolf', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:29.878928]:[6116]: Player: 'Harley Rolf', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:30.039937]:[6116]: Cards received: ('Five' of 'Diamonds')('Jack' of 'Hearts')('Eight' of 'Hearts')('Six' of 'Spades')('Six' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-14T21:35:34.825211]:[6116]: Player: 'Eskitex2013', action: 'Bet', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:34.826211]:[6116]: Player: 'Eskitex2013', stack: '1300' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:36.101284]:[6116]: Player: 'Harley Rolf', action: 'Call', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:36.102284]:[6116]: Player: 'Harley Rolf', stack: '1300' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:36.702318]:[6116]: Player: 'Eskitex2013', action: 'ShowCards', cards: 'QdJc' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:38.993449]:[6116]: Player: 'Harley Rolf', action: 'Loose', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:35:46.083855]:[6116]: Player: 'CLRN', stack: '1450' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:35:46.083855]:[6116]: Player: 'birdshot567', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:35:46.083855]:[6116]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:35:46.083855]:[6116]: Player: 'CLRN', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:35:46.085855]:[6116]: Player: 'birdshot567', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-14T21:35:46.106856]:[6116]: Player cards: ('King' of 'Spades')('King' of 'Hearts') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-03-14T21:35:55.725407]:[6116]: Player: 'Baboshin', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:36:02.006766]:[6116]: Player: 'Baboshin', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:36:02.311783]:[6116]: Player: 'sliperydon', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:36:02.604800]:[6116]: Player: 'baby 090811', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:36:06.274010]:[6116]: Player: 'Harley Rolf', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:36:06.274010]:[6116]: Player: 'Harley Rolf', stack: '1280' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-14T21:36:06.570027]:[6116]: Player: 'de AAngelis', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
