[NONE   ][0][2013-05-17T22:42:37.516656]:[5404]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-17T22:43:55.630124]:[9324]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.634124]:[9324]: Player: 'jpal96', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.634124]:[9324]: Player: 'tabascoozzy', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.634124]:[9324]: Player: 'rebeca08', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.635124]:[9324]: Player: 'bender3112', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.635124]:[9324]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.635124]:[9324]: Player: 'Diamondlady5', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.635124]:[9324]: Player: 'Vihastaya', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:55.635124]:[9324]: Player: '3sidekick', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:43:57.430227]:[9324]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T22:44:52.129355]:[9324]: Player: 'tabascoozzy', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T22:44:52.129355]:[9324]: Player: 'rebeca08', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T22:44:52.129355]:[9324]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T22:44:52.129355]:[9324]: Player: 'tabascoozzy', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T22:44:52.130355]:[9324]: Player: 'rebeca08', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T22:44:52.131355]:[9324]: Player cards: ('King' of 'Diamonds')('Seven' of 'Diamonds') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-17T22:44:54.645499]:[9324]: Player: 'bender3112', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:44:54.645499]:[9324]: Player: 'bender3112', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:03.886028]:[9324]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:07.032208]:[9324]: Player: 'CLRN', stack: '1440' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:07.032208]:[9324]: Player: 'CLRN', action: 'Raise', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:11.171444]:[9324]: Player: 'K.E.K.00089', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:11.171444]:[9324]: Player: 'K.E.K.00089', action: 'Raise', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:14.780651]:[9324]: Player: 'Diamondlady5', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:14.780651]:[9324]: Player: 'Diamondlady5', action: 'Call', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:18.926888]:[9324]: Player: 'Vihastaya', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T22:45:18.926888]:[9324]: Player: 'Vihastaya', action: 'Call', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
