[NONE   ][0][2013-04-22T23:40:56.301470]:[4788]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-04-22T23:41:02.627832]:[2780]: Ante: '1601' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T23:41:02.707836]:[2780]: Player: 'pizzi19783', stack: '1050' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T23:41:02.707836]:[2780]: Player: 'KmanSteve1', stack: '1415' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T23:41:02.707836]:[2780]: Player: 'vegasabe', stack: '5850' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T23:41:02.707836]:[2780]: Player: 'masikas', stack: '2080' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T23:41:02.708836]:[2780]: Player: 'CLRN', stack: '1470' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-22T23:41:09.640233]:[2780]: Player: 'masikas', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:23.644034]:[2780]: Player: 'masikas', action: 'SecondsLeft', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:24.226067]:[2780]: Player: 'masikas', stack: '2080' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:24.228067]:[2780]: Player: 'masikas', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:24.844102]:[2780]: Cards received: ('Five' of 'Hearts')('Four' of 'Clubs')('Seven' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-22T23:41:28.575316]:[2780]: Player: 'vegasabe', stack: '5730' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:28.577316]:[2780]: Player: 'vegasabe', action: 'Bet', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:30.201409]:[2780]: Player: 'masikas', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:30.493426]:[2780]: Player: 'vegasabe', stack: '5850' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:30.495426]:[2780]: Player: 'vegasabe', action: 'MoneyReturn', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:33.992626]:[2780]: Player: 'masikas', stack: '2065' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T23:41:33.992626]:[2780]: Player: 'CLRN', stack: '1440' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T23:41:33.993626]:[2780]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T23:41:33.994626]:[2780]: Player: 'masikas', action: 'SmallBlind', amount: '15' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T23:41:33.997626]:[2780]: Player: 'CLRN', action: 'BigBlind', amount: '30' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-22T23:41:34.004626]:[2780]: Player cards: ('Eight' of 'Clubs')('Four' of 'Spades') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-22T23:41:37.286814]:[2780]: Player: 'pizzi19783', stack: '1020' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:37.287814]:[2780]: Player: 'pizzi19783', action: 'Call', amount: '30' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:37.302815]:[2780]: Player: 'kokeman/ufc', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:42.332103]:[2780]: Player: 'KmanSteve1', stack: '1385' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:42.334103]:[2780]: Player: 'KmanSteve1', action: 'Call', amount: '30' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:42.898135]:[2780]: Player: 'vegasabe', stack: '5880' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:42.900135]:[2780]: Player: 'vegasabe', action: 'Call', amount: '30' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:51.294615]:[2780]: Player: 'masikas', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:54.186781]:[2780]: Player: 'masikas', stack: '2050' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:41:54.188781]:[2780]: Player: 'masikas', action: 'Call', amount: '15' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-22T23:42:02.310245]:[2780]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
