[NONE   ][0][2013-05-15T19:58:45.907539]:[4312]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-15T19:59:15.753246]:[4160]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.768247]:[4160]: Player: 'jdeereg', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.768247]:[4160]: Player: 'Seomag', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.768247]:[4160]: Player: 'tirvin4', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.768247]:[4160]: Player: 'dmilly75', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.769247]:[4160]: Player: 'sulmar641153', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.769247]:[4160]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.769247]:[4160]: Player: 'pescamonte', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.769247]:[4160]: Player: 'HEH6', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T19:59:15.770247]:[4160]: Player: 'Defiant1000', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T20:00:12.875513]:[4160]: Player: 'Seomag', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T20:00:12.876513]:[4160]: Player: 'tirvin4', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T20:00:12.876513]:[4160]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T20:00:12.877513]:[4160]: Player: 'Seomag', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T20:00:12.879513]:[4160]: Player: 'tirvin4', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T20:00:12.884514]:[4160]: Player cards: ('Ace' of 'Spades')('Jack' of 'Spades') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-15T20:00:15.452660]:[4160]: Player: 'dmilly75', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:17.909801]:[4160]: Player: 'sulmar641153', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:25.999264]:[4160]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:28.397401]:[4160]: Player: 'CLRN', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:28.398401]:[4160]: Player: 'CLRN', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:32.026608]:[4160]: Player: 'pescamonte', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:32.028609]:[4160]: Player: 'pescamonte', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:32.306624]:[4160]: Player: 'HEH6', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:32.308625]:[4160]: Player: 'HEH6', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:32.638643]:[4160]: Player: 'Defiant1000', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:34.485749]:[4160]: Player: 'jdeereg', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T20:00:34.487749]:[4160]: Player: 'jdeereg', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
